image_path,true_label,predicted_label,confidence,probability
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame0.jpg,fake,real,0.68359375,0.31640625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame1.jpg,fake,real,0.854248046875,0.145751953125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame11.jpg,fake,real,0.54833984375,0.45166015625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame14.jpg,fake,real,0.66943359375,0.33056640625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame2.jpg,fake,real,0.632568359375,0.367431640625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame6.jpg,fake,real,0.53173828125,0.46826171875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame7.jpg,fake,real,0.591796875,0.408203125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame8.jpg,fake,real,0.599609375,0.400390625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame9.jpg,fake,real,0.749755859375,0.250244140625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_04__kitchen_pan__GBC7ZGDP\frame0.jpg,fake,real,0.645263671875,0.354736328125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_04__walk_down_hall_angry__0XUW13RW\frame0.jpg,fake,real,0.611083984375,0.388916015625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_04__walk_down_hall_angry__0XUW13RW\frame1.jpg,fake,real,0.72802734375,0.27197265625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_11__secret_conversation__4OJNJLOO\frame14.jpg,fake,real,0.62451171875,0.37548828125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_15__meeting_serious__02HILKYO\frame7.jpg,fake,real,0.567138671875,0.432861328125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_15__walking_and_outside_surprised__02HILKYO\frame3.jpg,fake,real,0.7109375,0.2890625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_15__walking_and_outside_surprised__02HILKYO\frame6.jpg,fake,real,0.50439453125,0.49560546875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_20__walking_and_outside_surprised__OTGHOG4Z\frame14.jpg,fake,real,0.85693359375,0.14306640625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_20__walking_and_outside_surprised__OTGHOG4Z\frame2.jpg,fake,real,0.564453125,0.435546875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_21__kitchen_pan__03X7CELV\frame0.jpg,fake,real,0.6435546875,0.3564453125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_21__secret_conversation__03X7CELV\frame10.jpg,fake,real,0.548583984375,0.451416015625
