List of misclassified samples:
Image Path | True Label | Predicted Label | Predicted Probability
--------------------------------------------------------------------------------
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_DeepFakeDetection_21_14__walking_and_outside_surprised__N0WM4GSV_frame2.jpg | Fake | Real | 0.1392
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/real_youtube_238_frame4.jpg | Real | Fake | 0.6126
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/real_actors_15__walking_down_indoor_hall_disgust_frame0.jpg | Real | Fake | 0.5209
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_NeuralTextures_423_421_frame9.jpg | Fake | Real | 0.2591
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceSwap_586_223_frame7.jpg | Fake | Real | 0.2624
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/real_actors_07__hugging_happy_frame6.jpg | Real | Fake | 0.6385
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceShifter_834_852_frame2.jpg | Fake | Real | 0.4770
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_NeuralTextures_147_055_frame7.jpg | Fake | Real | 0.4930
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_DeepFakeDetection_12_06__walking_down_indoor_hall_disgust__3K21NFNM_frame8.jpg | Fake | Real | 0.2744
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/real_youtube_537_frame0.jpg | Real | Fake | 0.5842
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_DeepFakeDetection_13_12__outside_talking_still_laughing__2TM4IFSF_frame9.jpg | Fake | Real | 0.1639
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/real_actors_01__walking_down_street_outside_angry_frame9.jpg | Real | Fake | 0.6741
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_DeepFakeDetection_03_14__walking_down_indoor_hall_disgust__KJ221YN0_frame9.jpg | Fake | Real | 0.3687
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_DeepFakeDetection_03_14__walking_and_outside_surprised__P1L5PF4I_frame1.jpg | Fake | Real | 0.2105
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_NeuralTextures_379_158_frame9.jpg | Fake | Real | 0.4263
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_Deepfakes_444_655_frame5.jpg | Fake | Real | 0.3123
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceShifter_598_178_frame5.jpg | Fake | Real | 0.3839
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/real_youtube_128_frame6.jpg | Real | Fake | 0.5431
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceShifter_873_872_frame8.jpg | Fake | Real | 0.2624
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_DeepFakeDetection_12_15__walking_down_indoor_hall_disgust__RK17XFJ9_frame3.jpg | Fake | Real | 0.3942
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/real_actors_03__outside_talking_pan_laughing_frame1.jpg | Real | Fake | 0.8246
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/real_actors_03__outside_talking_pan_laughing_frame0.jpg | Real | Fake | 0.5249
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_DeepFakeDetection_01_11__walking_and_outside_surprised__18HYCC8C_frame9.jpg | Fake | Real | 0.3719
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_Deepfakes_807_273_frame9.jpg | Fake | Real | 0.4282
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_DeepFakeDetection_07_25__walk_down_hall_angry__PAE9HCA8_frame6.jpg | Fake | Real | 0.2818
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/real_actors_02__meeting_serious_frame3.jpg | Real | Fake | 0.6897
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_NeuralTextures_862_047_frame8.jpg | Fake | Real | 0.4492
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_NeuralTextures_277_335_frame4.jpg | Fake | Real | 0.3076
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_NeuralTextures_988_966_frame0.jpg | Fake | Real | 0.1776
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_NeuralTextures_509_525_frame6.jpg | Fake | Real | 0.3992
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_NeuralTextures_896_128_frame2.jpg | Fake | Real | 0.3676
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_NeuralTextures_749_659_frame6.jpg | Fake | Real | 0.3377
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceSwap_091_116_frame1.jpg | Fake | Real | 0.3004
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_DeepFakeDetection_18_06__outside_talking_pan_laughing__DEA1TCLN_frame6.jpg | Fake | Real | 0.3811
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_NeuralTextures_760_611_frame5.jpg | Fake | Real | 0.3468
