image_path,true_label,predicted_label,confidence,probability
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame0.jpg,fake,real,0.60595703125,0.39404296875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame1.jpg,fake,real,0.8763427734375,0.1236572265625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame11.jpg,fake,real,0.509033203125,0.490966796875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame14.jpg,fake,real,0.613525390625,0.386474609375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame2.jpg,fake,real,0.721923828125,0.278076171875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame3.jpg,fake,real,0.60009765625,0.39990234375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame6.jpg,fake,real,0.603515625,0.396484375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame7.jpg,fake,real,0.62451171875,0.37548828125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame8.jpg,fake,real,0.681396484375,0.318603515625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame9.jpg,fake,real,0.749267578125,0.250732421875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_03__podium_speech_happy__JZUXXFRB\frame13.jpg,fake,real,0.5107421875,0.4892578125
