List of misclassified samples:
Image Path | True Label | Predicted Label | Predicted Probability
--------------------------------------------------------------------------------
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/real_youtube_866_frame7.jpg | Real | Fake | 0.5720
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_NeuralTextures_522_337_frame6.jpg | Fake | Real | 0.3185
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/real_actors_03__podium_speech_happy_frame1.jpg | Real | Fake | 0.8858
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/real_youtube_437_frame9.jpg | Real | Fake | 0.7637
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceSwap_544_532_frame7.jpg | Fake | Real | 0.4597
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_NeuralTextures_896_128_frame4.jpg | Fake | Real | 0.2126
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_Face2Face_786_819_frame1.jpg | Fake | Real | 0.3580
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_DeepFakeDetection_22_23__walking_and_outside_surprised__TU7RHG0S_frame0.jpg | Fake | Real | 0.4071
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/real_youtube_345_frame9.jpg | Real | Fake | 0.5920
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/real_actors_02__meeting_serious_frame3.jpg | Real | Fake | 0.5608
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_DeepFakeDetection_12_13__outside_talking_pan_laughing__2TM4IFSF_frame2.jpg | Fake | Real | 0.4312
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_DeepFakeDetection_20_12__walking_down_indoor_hall_disgust__GHPWDH3C_frame7.jpg | Fake | Real | 0.4773
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_DeepFakeDetection_17_08__exit_phone_room__CFIY1YEQ_frame0.jpg | Fake | Real | 0.3051
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_DeepFakeDetection_12_25__walking_down_indoor_hall_disgust__FQE07ND1_frame0.jpg | Fake | Real | 0.1640
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_DeepFakeDetection_09_25__talking_angry_couch__ODAQ7BZL_frame0.jpg | Fake | Real | 0.3961
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceSwap_592_500_frame9.jpg | Fake | Real | 0.2293
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_Face2Face_701_579_frame5.jpg | Fake | Real | 0.4028
