List of misclassified samples:
Image Path | True Label | Predicted Label | Predicted Probability
--------------------------------------------------------------------------------
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceSwap_409_382_frame2.jpg | Fake | Real | 0.4565
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/real_youtube_435_frame7.jpg | Real | Fake | 0.6686
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_Deepfakes_274_412_frame0.jpg | Fake | Real | 0.3361
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceShifter_337_522_frame3.jpg | Fake | Real | 0.3261
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/real_youtube_000_frame4.jpg | Real | Fake | 0.7677
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_DeepFakeDetection_21_09__walking_down_indoor_hall_disgust__JEELOMN2_frame3.jpg | Fake | Real | 0.4776
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_DeepFakeDetection_22_24__outside_talking_still_laughing__XL557XC6_frame5.jpg | Fake | Real | 0.3883
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceSwap_217_117_frame6.jpg | Fake | Real | 0.2741
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_NeuralTextures_587_535_frame2.jpg | Fake | Real | 0.2926
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_NeuralTextures_462_467_frame0.jpg | Fake | Real | 0.2244
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_DeepFakeDetection_13_26__secret_conversation__DZP10XW4_frame8.jpg | Fake | Real | 0.4817
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_NeuralTextures_298_279_frame4.jpg | Fake | Real | 0.2977
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/real_actors_09__exit_phone_room_frame2.jpg | Real | Fake | 0.5636
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceShifter_740_796_frame6.jpg | Fake | Real | 0.4587
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_NeuralTextures_753_789_frame4.jpg | Fake | Real | 0.3867
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_NeuralTextures_723_704_frame0.jpg | Fake | Real | 0.4465
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_NeuralTextures_494_445_frame1.jpg | Fake | Real | 0.4908
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/real_actors_14__hugging_happy_frame0.jpg | Real | Fake | 0.7752
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/real_youtube_449_frame0.jpg | Real | Fake | 0.7945
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceSwap_319_352_frame1.jpg | Fake | Real | 0.3355
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/real_youtube_227_frame8.jpg | Real | Fake | 0.5487
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_NeuralTextures_189_200_frame7.jpg | Fake | Real | 0.3684
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/real_youtube_311_frame3.jpg | Real | Fake | 0.5324
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/real_actors_26__talking_angry_couch_frame5.jpg | Real | Fake | 0.9102
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/real_youtube_798_frame7.jpg | Real | Fake | 0.6297
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/real_actors_22__podium_speech_happy_frame7.jpg | Real | Fake | 0.7479
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_Deepfakes_692_610_frame7.jpg | Fake | Real | 0.2960
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_NeuralTextures_131_518_frame0.jpg | Fake | Real | 0.2886
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/real_actors_18__talking_against_wall_frame9.jpg | Real | Fake | 0.5055
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceShifter_861_858_frame3.jpg | Fake | Real | 0.2821
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/real_youtube_790_frame7.jpg | Real | Fake | 0.7683
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceShifter_349_350_frame8.jpg | Fake | Real | 0.2788
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/real_youtube_238_frame3.jpg | Real | Fake | 0.7569
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_DeepFakeDetection_04_02__outside_talking_still_laughing__8CH7R4LW_frame6.jpg | Fake | Real | 0.3170
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceSwap_993_989_frame3.jpg | Fake | Real | 0.4014
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_NeuralTextures_837_890_frame0.jpg | Fake | Real | 0.4380
