List of misclassified samples:
Image Path | True Label | Predicted Label | Predicted Probability
--------------------------------------------------------------------------------
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceShifter_244_822_frame9.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_NeuralTextures_809_799_frame0.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceShifter_011_805_frame1.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_NeuralTextures_696_686_frame3.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/real_youtube_770_frame4.jpg | Real | Fake | 0.5001
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_Deepfakes_012_026_frame7.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceShifter_543_559_frame9.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/real_youtube_489_frame5.jpg | Real | Fake | 0.5001
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceSwap_968_884_frame7.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceSwap_040_997_frame2.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_Face2Face_155_576_frame7.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/real_actors_19__secret_conversation_frame0.jpg | Real | Fake | 0.5141
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_Face2Face_056_996_frame6.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_Face2Face_471_455_frame9.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_Face2Face_878_866_frame9.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceShifter_249_280_frame3.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_DeepFakeDetection_03_07__outside_talking_still_laughing__IFSURI9X_frame9.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_NeuralTextures_949_868_frame4.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceShifter_430_459_frame3.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/real_youtube_814_frame8.jpg | Real | Fake | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceSwap_170_186_frame1.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_DeepFakeDetection_03_14__walking_down_street_outside_angry__Q9NSXM88_frame5.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceShifter_139_130_frame9.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/real_youtube_133_frame4.jpg | Real | Fake | 0.5010
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_Face2Face_855_801_frame9.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceShifter_848_894_frame1.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_Deepfakes_989_993_frame2.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceSwap_946_049_frame0.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceSwap_675_608_frame3.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_DeepFakeDetection_03_09__talking_against_wall__8DTEGQ54_frame4.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceSwap_166_167_frame2.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_Face2Face_175_159_frame9.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceSwap_880_135_frame9.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceSwap_348_202_frame6.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/real_youtube_022_frame9.jpg | Real | Fake | 0.5040
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_DeepFakeDetection_28_08__kitchen_still__HIOU8Z8I_frame5.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_DeepFakeDetection_13_12__outside_talking_pan_laughing__2TM4IFSF_frame5.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_Deepfakes_166_167_frame7.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_Deepfakes_132_007_frame0.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceSwap_123_119_frame0.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceShifter_941_940_frame7.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceSwap_074_825_frame1.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_DeepFakeDetection_23_22__walking_outside_cafe_disgusted__X2ZN5Q31_frame7.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_Face2Face_372_413_frame7.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceShifter_191_188_frame3.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/real_youtube_732_frame9.jpg | Real | Fake | 0.5052
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceSwap_297_270_frame0.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_Deepfakes_897_969_frame8.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_Face2Face_479_706_frame1.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_Deepfakes_010_005_frame2.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceSwap_989_993_frame2.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/real_youtube_221_frame7.jpg | Real | Fake | 0.5015
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_FaceSwap_910_911_frame1.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/fake_Face2Face_121_093_frame9.jpg | Fake | Real | 0.5000
G:/Hiep/Deepfake_Detection/data_preprocessing/frames/frames_mtcnn_rgb_full/real_youtube_314_frame5.jpg | Real | Fake | 0.5025
