Path,True Label,Predicted Label,Confidence
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000761.png,fake,real,0.7588
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000763.png,fake,real,0.7961
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000765.png,fake,real,0.9250
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000766.png,fake,real,0.9494
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000767.png,fake,real,0.9634
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000768.png,fake,real,0.9405
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000772.png,fake,real,0.8765
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000773.png,fake,real,0.5447
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000774.png,fake,real,0.9732
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000776.png,fake,real,0.9301
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000779.png,fake,real,0.8369
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000780.png,fake,real,0.9551
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000781.png,fake,real,0.5337
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000786.png,fake,real,0.9022
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000787.png,fake,real,0.6030
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000789.png,fake,real,0.6125
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000793.png,fake,real,0.5229
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000794.png,fake,real,0.7234
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000798.png,fake,real,0.8313
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000799.png,fake,real,0.9464
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000804.png,fake,real,0.9103
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000807.png,fake,real,0.8190
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000808.png,fake,real,0.7024
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000809.png,fake,real,0.5688
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000818.png,fake,real,0.7898
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000822.png,fake,real,0.7471
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000825.png,fake,real,0.7144
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000830.png,fake,real,0.9036
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000831.png,fake,real,0.5642
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000832.png,fake,real,0.9313
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000837.png,fake,real,0.7555
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000838.png,fake,real,0.5598
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000839.png,fake,real,0.7427
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000841.png,fake,real,0.5774
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000842.png,fake,real,0.8568
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000843.png,fake,real,0.8000
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000844.png,fake,real,0.6829
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000845.png,fake,real,0.8306
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000850.png,fake,real,0.5264
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000852.png,fake,real,0.9166
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000853.png,fake,real,0.9276
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000856.png,fake,real,0.8344
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000858.png,fake,real,0.6104
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000859.png,fake,real,0.5293
