Path,True Label,Predicted Label,Confidence
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000761.png,fake,real,0.8136
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000762.png,fake,real,0.9643
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000763.png,fake,real,0.9192
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000764.png,fake,real,0.9887
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000765.png,fake,real,0.7014
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000766.png,fake,real,0.9617
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000767.png,fake,real,0.9958
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000768.png,fake,real,0.9927
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000772.png,fake,real,0.9717
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000773.png,fake,real,0.9847
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000774.png,fake,real,0.9939
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000775.png,fake,real,0.8566
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000776.png,fake,real,0.9954
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000779.png,fake,real,0.9911
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000780.png,fake,real,0.9955
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000781.png,fake,real,0.8862
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000786.png,fake,real,0.9066
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000787.png,fake,real,0.9865
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000788.png,fake,real,0.6887
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000789.png,fake,real,0.9683
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000790.png,fake,real,0.9949
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000792.png,fake,real,0.8293
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000793.png,fake,real,0.9472
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000794.png,fake,real,0.9270
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000796.png,fake,real,0.9733
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000797.png,fake,real,0.9441
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000798.png,fake,real,0.9565
D:/Deepfake_Detection_project/data_preprocessing/voice_data\test\fake\D_1000799.png,fake,real,0.9841
