image_path,label
D:/project/frames/fake_01__exit_phone_room_frame0.jpg,fake
D:/project/frames/fake_01__exit_phone_room_frame1.jpg,fake
D:/project/frames/fake_01__exit_phone_room_frame2.jpg,fake
D:/project/frames/fake_01__exit_phone_room_frame3.jpg,fake
D:/project/frames/fake_01__exit_phone_room_frame4.jpg,fake
D:/project/frames/fake_01__exit_phone_room_frame5.jpg,fake
D:/project/frames/fake_01__exit_phone_room_frame6.jpg,fake
D:/project/frames/fake_01__exit_phone_room_frame7.jpg,fake
D:/project/frames/fake_01__exit_phone_room_frame8.jpg,fake
D:/project/frames/fake_01__exit_phone_room_frame9.jpg,fake
D:/project/frames/fake_01__hugging_happy_frame0.jpg,fake
D:/project/frames/fake_01__hugging_happy_frame1.jpg,fake
D:/project/frames/fake_01__hugging_happy_frame2.jpg,fake
D:/project/frames/fake_01__hugging_happy_frame3.jpg,fake
D:/project/frames/fake_01__hugging_happy_frame4.jpg,fake
D:/project/frames/fake_01__hugging_happy_frame5.jpg,fake
D:/project/frames/fake_01__hugging_happy_frame6.jpg,fake
D:/project/frames/fake_01__hugging_happy_frame7.jpg,fake
D:/project/frames/fake_01__hugging_happy_frame8.jpg,fake
D:/project/frames/fake_01__hugging_happy_frame9.jpg,fake
D:/project/frames/fake_01__kitchen_pan_frame0.jpg,fake
D:/project/frames/fake_01__kitchen_pan_frame1.jpg,fake
D:/project/frames/fake_01__kitchen_pan_frame2.jpg,fake
D:/project/frames/fake_01__kitchen_pan_frame3.jpg,fake
D:/project/frames/fake_01__kitchen_pan_frame4.jpg,fake
D:/project/frames/fake_01__kitchen_pan_frame5.jpg,fake
D:/project/frames/fake_01__kitchen_pan_frame6.jpg,fake
D:/project/frames/fake_01__kitchen_pan_frame7.jpg,fake
D:/project/frames/fake_01__kitchen_pan_frame8.jpg,fake
D:/project/frames/fake_01__kitchen_pan_frame9.jpg,fake
D:/project/frames/fake_01__kitchen_still_frame0.jpg,fake
D:/project/frames/fake_01__kitchen_still_frame1.jpg,fake
D:/project/frames/fake_01__kitchen_still_frame2.jpg,fake
D:/project/frames/fake_01__kitchen_still_frame3.jpg,fake
D:/project/frames/fake_01__kitchen_still_frame4.jpg,fake
D:/project/frames/fake_01__kitchen_still_frame5.jpg,fake
D:/project/frames/fake_01__kitchen_still_frame6.jpg,fake
D:/project/frames/fake_01__kitchen_still_frame7.jpg,fake
D:/project/frames/fake_01__kitchen_still_frame8.jpg,fake
D:/project/frames/fake_01__kitchen_still_frame9.jpg,fake
D:/project/frames/fake_01__meeting_serious_frame0.jpg,fake
D:/project/frames/fake_01__meeting_serious_frame1.jpg,fake
D:/project/frames/fake_01__meeting_serious_frame2.jpg,fake
D:/project/frames/fake_01__meeting_serious_frame3.jpg,fake
D:/project/frames/fake_01__meeting_serious_frame4.jpg,fake
D:/project/frames/fake_01__meeting_serious_frame5.jpg,fake
D:/project/frames/fake_01__meeting_serious_frame6.jpg,fake
D:/project/frames/fake_01__meeting_serious_frame7.jpg,fake
D:/project/frames/fake_01__meeting_serious_frame8.jpg,fake
D:/project/frames/fake_01__meeting_serious_frame9.jpg,fake
D:/project/frames/fake_01__outside_talking_pan_laughing_frame0.jpg,fake
D:/project/frames/fake_01__outside_talking_pan_laughing_frame1.jpg,fake
D:/project/frames/fake_01__outside_talking_pan_laughing_frame2.jpg,fake
D:/project/frames/fake_01__outside_talking_pan_laughing_frame3.jpg,fake
D:/project/frames/fake_01__outside_talking_pan_laughing_frame4.jpg,fake
D:/project/frames/fake_01__outside_talking_pan_laughing_frame5.jpg,fake
D:/project/frames/fake_01__outside_talking_pan_laughing_frame6.jpg,fake
D:/project/frames/fake_01__outside_talking_pan_laughing_frame7.jpg,fake
D:/project/frames/fake_01__outside_talking_pan_laughing_frame8.jpg,fake
D:/project/frames/fake_01__outside_talking_pan_laughing_frame9.jpg,fake
D:/project/frames/fake_01__outside_talking_still_laughing_frame0.jpg,fake
