image_path,label
D:/Deepfake_Detection_project/frames1/fake_27__outside_talking_still_laughing_frame8.jpg,fake
D:/Deepfake_Detection_project/frames1/fake_12__walking_outside_cafe_disgusted_frame3.jpg,fake
D:/Deepfake_Detection_project/frames1/real_24_23__talking_against_wall__YR5OVD4S_frame0.jpg,real
D:/Deepfake_Detection_project/frames1/real_21_03__talking_against_wall__YCSEBZO4_frame4.jpg,real
D:/Deepfake_Detection_project/frames1/real_14_15__walking_and_outside_surprised__OMLZILK3_frame4.jpg,real
D:/Deepfake_Detection_project/frames1/real_20_11__hugging_happy__GNK9UR8K_frame4.jpg,real
D:/Deepfake_Detection_project/frames1/real_23_19__talking_against_wall__H4SUVFTL_frame6.jpg,real
D:/Deepfake_Detection_project/frames1/real_15_14__hugging_happy__OMLZILK3_frame5.jpg,real
D:/Deepfake_Detection_project/frames1/real_15_02__kitchen_still__HTG660F8_frame5.jpg,real
D:/Deepfake_Detection_project/frames1/real_12_26__outside_talking_still_laughing__OTKIGGFE_frame6.jpg,real
D:/Deepfake_Detection_project/frames1/real_08_05__kitchen_still__LVIZ2X8P_frame3.jpg,real
D:/Deepfake_Detection_project/frames1/fake_09__outside_talking_pan_laughing_frame5.jpg,fake
D:/Deepfake_Detection_project/frames1/real_07_14__podium_speech_happy__P9QFO50U_frame3.jpg,real
D:/Deepfake_Detection_project/frames1/real_03_07__podium_speech_happy__6PHZRQ4H_frame9.jpg,real
D:/Deepfake_Detection_project/frames1/real_26_14__kitchen_pan__SU8SAHTT_frame6.jpg,real
D:/Deepfake_Detection_project/frames1/real_03_15__kitchen_still__OY4I7ZU8_frame3.jpg,real
D:/Deepfake_Detection_project/frames1/real_03_04__talking_angry_couch__T04P6ELC_frame6.jpg,real
D:/Deepfake_Detection_project/frames1/real_09_11__podium_speech_happy__INNOT5UE_frame0.jpg,real
D:/Deepfake_Detection_project/frames1/real_02_27__kitchen_pan__3L1MLH3D_frame5.jpg,real
D:/Deepfake_Detection_project/frames1/real_12_07__walking_outside_cafe_disgusted__KAG65PEE_frame3.jpg,real
D:/Deepfake_Detection_project/frames1/real_18_11__kitchen_still__PT4YKO2R_frame1.jpg,real
D:/Deepfake_Detection_project/frames1/real_21_25__outside_talking_pan_laughing__NFBISHIN_frame6.jpg,real
D:/Deepfake_Detection_project/frames1/real_06_02__exit_phone_room__SU4OQCS9_frame9.jpg,real
D:/Deepfake_Detection_project/frames1/real_07_02__outside_talking_pan_laughing__1ZE4HC06_frame1.jpg,real
D:/Deepfake_Detection_project/frames1/real_12_06__walking_down_street_outside_angry__F3I4PDYF_frame6.jpg,real
